"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Camille","Top",3,"3.8%","0.0%","3.8%","67%","100%",12,12,22,2.8,"63.0%","31.6%","67%",43,136,-7.3,7.9,"23.8%",569,"23.2%","22.7%",0.28,0.25
"Cassiopeia","Middle",8,"10.0%","11.3%","21.3%","50%","75%",34,21,61,4.5,"76.6%","17.9%","63%",-31,167,4.6,8.2,"25.1%",656,"23.8%","23.8%",0.5,0.18
"Corki","ADC",21,"26.3%","10.0%","36.3%","52%","38%",111,72,133,3.4,"74.2%","20.8%","19%",-197,-108,-5.5,8.9,"29.4%",815,"29.1%","25.4%",0.38,0.36
"Dr. Mundo","Jungle",5,"6.3%","0.0%","6.3%","100%","60%",23,7,43,9.4,"71.7%","13.7%","40%",414,513,9,6.9,"19.8%",708,"23.3%","20.9%",0.35,0.48
"Draven","ADC",5,"6.3%","10.0%","16.3%","40%","80%",22,15,25,3.1,"67.1%","16.9%","40%",554,106,0.8,8.9,"29.1%",625,"24.7%","28.0%",0.44,0.33
"Elise","Support",1,"1.3%","0.0%","1.3%","0%","0%",0,5,4,0.8,"66.7%","22.7%","0%",-23,-521,2,1.5,"4.4%",338,"15.3%","10.4%",1.83,0.51
"Ezreal","ADC",15,"18.8%","11.3%","30.0%","53%","73%",59,29,87,5,"66.4%","13.3%","7%",-8,170,1.1,9.4,"29.6%",866,"31.0%","25.0%",0.42,0.35
"Galio","Middle",9,"11.3%","16.3%","31.3%","67%","56%",30,20,95,6.3,"69.1%","17.7%","56%",-156,-195,-13.4,8.1,"24.0%",568,"19.6%","20.9%",0.37,0.24
"Galio","Top",3,"3.8%","16.3%","31.3%","100%","100%",4,4,33,9.3,"67.3%","15.4%","0%",-182,-32,-4,7,"18.9%",498,"16.7%","18.3%",0.36,0.15
"Gnar","Top",1,"1.3%","0.0%","1.3%","100%","100%",2,3,4,2,"35.3%","60.0%","0%",590,785,18,8.5,"24.5%",491,"18.2%","20.1%",0.37,0.14
"Gragas","Top",1,"1.3%","0.0%","1.3%","100%","0%",2,2,7,4.5,"52.9%","25.0%","0%",23,-81,-4,6.7,"19.5%",682,"19.9%","18.1%",0.37,0.2
"Gwen","Top",1,"1.3%","1.3%","2.5%","100%","100%",10,6,6,2.7,"55.2%","27.3%","100%",617,2,-10,7.4,"25.6%",764,"23.2%","23.5%",0.34,0.54
"Hwei","Middle",3,"3.8%","3.8%","7.5%","67%","67%",9,10,26,3.5,"77.8%","30.3%","0%",-16,43,6,9,"26.6%",811,"30.3%","22.8%",0.5,0.28
"Ivern","Jungle",1,"1.3%","0.0%","1.3%","0%","100%",1,4,3,1,"100.0%","28.6%","100%",375,57,-3,5.2,"15.6%",170,"11.2%","20.7%",0.34,0.31
"Jarvan IV","Jungle",21,"26.3%","6.3%","32.5%","52%","33%",57,77,230,3.7,"84.7%","21.9%","43%",17,85,3,6.4,"18.7%",392,"14.4%","19.2%",0.33,0.37
"Jax","Top",5,"6.3%","3.8%","10.0%","40%","100%",20,22,11,1.4,"41.3%","26.2%","20%",-274,-442,-1.8,7.6,"22.4%",493,"18.1%","21.9%",0.44,0.15
"Jayce","Top",1,"1.3%","1.3%","2.5%","0%","100%",1,6,2,0.5,"42.9%","24.0%","0%",200,-903,12,7.7,"26.5%",566,"27.1%","21.2%",0.51,0.2
"Jhin","ADC",4,"5.0%","5.0%","10.0%","50%","75%",12,8,34,5.8,"76.7%","13.6%","50%",-156,-315,-9,8.8,"28.3%",648,"23.7%","23.3%",0.38,0.26
"Jinx","ADC",1,"1.3%","0.0%","1.3%","0%","0%",5,1,9,14,"82.4%","10.0%","0%",-461,-952,-26,8.1,"31.0%",696,"26.5%","25.5%",0.45,0.4
"K'Sante","Top",26,"32.5%","6.3%","38.8%","35%","35%",44,60,130,2.9,"52.7%","14.8%","12%",-149,-63,-2.2,7.8,"22.4%",464,"18.8%","20.4%",0.37,0.18
